,full_img_path,tube_line,points_lst,cot_stage,comments,tag_time,file_name,directory_name
341,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_R\6565_CROPED_5.jpg,"[(39, 445), (372, 445)]","[(199, 434), (199, 399), (202, 355)]",Open,,1605460229,6565_CROPED_5.jpg,200803_contin_R
342,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_R\6876_CROPED_1.jpg,"[(72, 331), (372, 330)]","[(206, 324), (214, 278), (228, 238), (248, 190), (275, 153)]",Closed,,1605460243,6876_CROPED_1.jpg,200803_contin_R
343,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_R\6876_CROPED_2.jpg,"[(43, 349), (324, 357)]","[(220, 345), (235, 309), (253, 280), (285, 254), (305, 241)]",,cant see leaves,1605460261,6876_CROPED_2.jpg,200803_contin_R
344,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_R\6876_CROPED_3.jpg,"[(63, 469), (369, 463)]","[(233, 449), (253, 370), (282, 295), (319, 236), (361, 182)]",Open,,1605460277,6876_CROPED_3.jpg,200803_contin_R
345,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_R\6876_CROPED_4.jpg,"[(34, 382), (387, 375)]","[(195, 361), (203, 331), (218, 296), (238, 263), (261, 236)]",Open,,1605460307,6876_CROPED_4.jpg,200803_contin_R
346,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_R\6876_CROPED_5.jpg,"[(37, 443), (369, 437)]","[(259, 438), (274, 413), (308, 376), (346, 337), (391, 306)]",,cant see leaves,1605460328,6876_CROPED_5.jpg,200803_contin_R
347,C:\Sunflowers\manual_tagging-master\first_last_imgs\200804_contin_L\0018_CROPED_1.jpg,"[(83, 239), (440, 244)]","[(266, 236), (271, 215), (275, 196), (280, 168), (288, 148)]",Open,,1606817454,0018_CROPED_1.jpg,200804_contin_L
348,C:\Sunflowers\manual_tagging-master\first_last_imgs\200804_contin_L\0018_CROPED_2.jpg,"[(113, 312), (487, 285)]","[(300, 297), (300, 263), (298, 222), (304, 185)]",Open,,1606817465,0018_CROPED_2.jpg,200804_contin_L
349,C:\Sunflowers\manual_tagging-master\first_last_imgs\200804_contin_L\0018_CROPED_3.jpg,"[(53, 360), (370, 368)]","[(241, 354), (241, 321), (242, 280), (233, 242)]",Closed,,1606817477,0018_CROPED_3.jpg,200804_contin_L
350,C:\Sunflowers\manual_tagging-master\first_last_imgs\200804_contin_L\0018_CROPED_4.jpg,"[(70, 359), (358, 338)]","[(223, 338), (223, 301), (216, 250), (199, 184)]",Closed,,1606817487,0018_CROPED_4.jpg,200804_contin_L
