,full_img_path,tube_line,points_lst,cot_stage,comments,tag_time,file_name,directory_name
431,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_R\0384_CROPED_3.jpg,"[(183, 743), (503, 748)]","[(327, 729), (350, 572), (370, 431), (391, 310)]",Open,,1609954509,0384_CROPED_3.jpg,201102_contin_low_R
432,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_R\0384_CROPED_4.jpg,"[(166, 729), (538, 722)]","[(271, 701), (268, 622), (275, 538), (288, 466), (300, 398), (331, 338), (371, 278), (386, 243)]",Open,,1609954520,0384_CROPED_4.jpg,201102_contin_low_R
433,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_R\0384_CROPED_5.jpg,"[(309, 577), (648, 594)]","[(469, 566), (470, 480), (493, 403), (521, 338), (565, 284), (609, 244), (641, 223)]",Closed,,1609954531,0384_CROPED_5.jpg,201102_contin_low_R
434,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_L\0016_CROPED_1.jpg,"[(178, 470), (533, 472)]","[(420, 456), (429, 404), (429, 361), (420, 309), (413, 240), (404, 221)]",Closed,,1609954541,0016_CROPED_1.jpg,201103_contin_low_L
435,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_L\0016_CROPED_2.jpg,"[(341, 637), (715, 627)]","[(524, 627), (503, 555), (482, 499), (467, 405)]",Closed,,1609954552,0016_CROPED_2.jpg,201103_contin_low_L
436,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_L\0016_CROPED_3.jpg,"[(243, 665), (562, 660)]","[(404, 660), (409, 619), (422, 567)]",Closed,,1609954561,0016_CROPED_3.jpg,201103_contin_low_L
437,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_L\0016_CROPED_4.jpg,"[(203, 707), (498, 702)]","[(344, 694), (309, 617), (264, 547)]",Closed,,1609954571,0016_CROPED_4.jpg,201103_contin_low_L
438,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_L\0016_CROPED_5.jpg,"[(223, 628), (533, 623)]","[(358, 622), (353, 557), (350, 484), (341, 417), (331, 368)]",Open,,1609954582,0016_CROPED_5.jpg,201103_contin_low_L
439,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_L\0340_CROPED_1.jpg,"[(178, 465), (532, 478)]","[(404, 455), (402, 397), (402, 352), (395, 297), (392, 245), (389, 212), (378, 188), (374, 169)]",Closed,,1609954624,0340_CROPED_1.jpg,201103_contin_low_L
440,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_L\0340_CROPED_2.jpg,"[(341, 638), (712, 628)]","[(510, 634), (477, 575), (447, 514), (421, 460), (388, 408), (344, 352)]",Closed,,1609954633,0340_CROPED_2.jpg,201103_contin_low_L
441,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_L\0340_CROPED_3.jpg,"[(242, 669), (570, 669)]","[(386, 652), (386, 607), (381, 565), (378, 532), (375, 498)]",Open,,1609954646,0340_CROPED_3.jpg,201103_contin_low_L
442,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_L\0340_CROPED_4.jpg,"[(202, 735), (497, 734)]","[(347, 687), (328, 591), (313, 530), (302, 470), (290, 441)]",Open,,1609954654,0340_CROPED_4.jpg,201103_contin_low_L
443,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_L\0340_CROPED_5.jpg,"[(222, 632), (532, 627)]","[(359, 619), (365, 559), (363, 498), (363, 467), (363, 432), (354, 384), (337, 338)]",Open,,1609954663,0340_CROPED_5.jpg,201103_contin_low_L
444,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_R\0016_CROPED_1.jpg,"[(144, 523), (449, 512)]","[(287, 491), (281, 361)]",Open,,1609954671,0016_CROPED_1.jpg,201103_contin_low_R
445,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_R\0016_CROPED_2.jpg,"[(134, 564), (423, 564)]","[(232, 538), (237, 448), (244, 404), (242, 368), (246, 335), (249, 318)]",,crooked,1609954687,0016_CROPED_2.jpg,201103_contin_low_R
446,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_R\0016_CROPED_3.jpg,"[(177, 669), (493, 663)]","[(313, 650), (306, 546), (299, 474), (299, 444)]",Open,,1609954697,0016_CROPED_3.jpg,201103_contin_low_R
447,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_R\0016_CROPED_4.jpg,"[(227, 586), (589, 579)]","[(403, 555), (397, 493), (390, 449), (387, 413)]",Open,,1609954705,0016_CROPED_4.jpg,201103_contin_low_R
448,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_R\0016_CROPED_5.jpg,"[(194, 697), (544, 715)]","[(351, 689), (343, 628), (334, 563), (334, 523), (340, 491)]",Open,,1609954715,0016_CROPED_5.jpg,201103_contin_low_R
449,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_R\0340_CROPED_1.jpg,"[(143, 513), (452, 507)]","[(329, 485), (355, 413), (380, 361), (403, 318), (421, 291), (439, 246)]",Open,,1609954724,0340_CROPED_1.jpg,201103_contin_low_R
450,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_R\0340_CROPED_2.jpg,"[(136, 563), (424, 561)]","[(233, 544), (230, 480), (233, 431), (237, 401), (239, 372), (243, 342), (243, 309), (241, 267)]",Open,,1609954732,0340_CROPED_2.jpg,201103_contin_low_R
